window_id,video_flag,audio_flag,eeg_flag,window_emotion
001_00,GOOD,,GOOD,Anger
001_01,GOOD,,GOOD,Anger
001_02,GOOD,,GOOD,Anger
001_03,GOOD,,GOOD,Anger
001_04,GOOD,,GOOD,Anger
001_05,GOOD,,GOOD,Anger
001_06,GOOD,,GOOD,Anger
001_07,GOOD,,GOOD,Anger
001_08,GOOD,,GOOD,Anger
001_09,GOOD,,GOOD,Anger
001_10,GOOD,,GOOD,Anger
001_11,GOOD,,GOOD,Anger
001_12,GOOD,,GOOD,Anger
001_13,GOOD,,GOOD,Anger
001_14,GOOD,,GOOD,Anger
001_15,GOOD,,GOOD,Anger
001_16,GOOD,,GOOD,Anger
001_17,GOOD,,GOOD,Anger
001_18,GOOD,,GOOD,Anger
001_19,GOOD,,GOOD,Anger
001_20,GOOD,,GOOD,Anger
001_21,GOOD,,GOOD,Anger
001_22,GOOD,,GOOD,Anger
001_23,GOOD,,GOOD,Anger
001_24,GOOD,,GOOD,Anger
001_25,GOOD,,GOOD,Anger
001_26,GOOD,,GOOD,Anger
001_27,GOOD,,GOOD,Anger
001_28,GOOD,,GOOD,Anger
001_29,GOOD,,GOOD,Anger
001_30,GOOD,,GOOD,Anger
001_31,GOOD,,GOOD,Anger
001_32,GOOD,,GOOD,Anger
001_33,GOOD,,GOOD,Anger
001_34,GOOD,,GOOD,Anger
001_35,GOOD,,GOOD,Anger
001_36,GOOD,,GOOD,Anger
001_37,GOOD,,GOOD,Anger
001_38,GOOD,,GOOD,Anger
001_39,GOOD,,GOOD,Anger
001_40,GOOD,,GOOD,Anger
001_41,GOOD,,GOOD,Anger
001_42,GOOD,,GOOD,Anger
001_43,GOOD,,GOOD,Anger
001_44,GOOD,,GOOD,Anger
001_45,GOOD,,GOOD,Anger
001_46,GOOD,,GOOD,Anger
001_47,GOOD,,GOOD,Anger
001_48,GOOD,,GOOD,Anger
001_49,GOOD,,GOOD,Anger
001_50,GOOD,,GOOD,Anger
001_51,GOOD,,GOOD,Anger
001_52,GOOD,,GOOD,Anger
001_53,GOOD,,GOOD,Anger
001_54,GOOD,,GOOD,Anger
001_55,GOOD,,GOOD,Anger
001_56,GOOD,,GOOD,Anger
001_57,GOOD,,GOOD,Anger
001_58,GOOD,,GOOD,Anger
001_59,GOOD,,GOOD,Anger
001_60,GOOD,,GOOD,Anger
001_61,GOOD,,GOOD,Anger
001_62,GOOD,,GOOD,Anger
001_63,GOOD,,GOOD,Anger
001_64,GOOD,,GOOD,Anger
001_65,GOOD,,BAD,Anger
002_00,GOOD,GOOD,GOOD,Anger
002_01,GOOD,GOOD,GOOD,Anger
002_02,GOOD,GOOD,GOOD,Anger
002_03,GOOD,GOOD,GOOD,Anger
002_04,GOOD,GOOD,GOOD,Anger
002_05,GOOD,GOOD,GOOD,Anger
002_06,GOOD,GOOD,GOOD,Anger
002_07,GOOD,GOOD,GOOD,Anger
002_08,GOOD,GOOD,GOOD,Anger
002_09,GOOD,GOOD,GOOD,Anger
002_10,GOOD,GOOD,GOOD,Anger
002_11,GOOD,GOOD,GOOD,Anger
002_12,GOOD,GOOD,GOOD,Anger
002_13,GOOD,GOOD,GOOD,Anger
002_14,GOOD,GOOD,GOOD,Anger
002_15,GOOD,GOOD,GOOD,Anger
002_16,GOOD,GOOD,GOOD,Anger
002_17,GOOD,GOOD,GOOD,Anger
002_18,GOOD,GOOD,GOOD,Anger
002_19,GOOD,GOOD,GOOD,Anger
002_20,GOOD,GOOD,GOOD,Anger
002_21,GOOD,GOOD,GOOD,Anger
002_22,GOOD,GOOD,GOOD,Anger
002_23,GOOD,GOOD,GOOD,Anger
002_24,GOOD,GOOD,GOOD,Anger
002_25,GOOD,GOOD,GOOD,Anger
002_26,GOOD,GOOD,GOOD,Anger
002_27,GOOD,GOOD,GOOD,Anger
002_28,GOOD,GOOD,GOOD,Anger
002_29,GOOD,GOOD,GOOD,Anger
002_30,GOOD,GOOD,GOOD,Anger
002_31,GOOD,GOOD,GOOD,Anger
002_32,GOOD,GOOD,GOOD,Anger
002_33,GOOD,GOOD,GOOD,Anger
002_34,GOOD,GOOD,GOOD,Anger
002_35,GOOD,GOOD,GOOD,Anger
002_36,GOOD,GOOD,GOOD,Anger
002_37,GOOD,GOOD,GOOD,Anger
002_38,GOOD,GOOD,GOOD,Anger
002_39,GOOD,GOOD,GOOD,Anger
002_40,GOOD,GOOD,GOOD,Anger
002_41,GOOD,GOOD,GOOD,Anger
002_42,GOOD,GOOD,GOOD,Anger
002_43,GOOD,GOOD,GOOD,Anger
002_44,GOOD,GOOD,GOOD,Anger
002_45,GOOD,GOOD,GOOD,Anger
002_46,GOOD,GOOD,GOOD,Anger
002_47,GOOD,GOOD,GOOD,Anger
002_48,GOOD,GOOD,GOOD,Anger
002_49,GOOD,GOOD,GOOD,Anger
002_50,GOOD,GOOD,GOOD,Anger
002_51,GOOD,GOOD,GOOD,Anger
002_52,GOOD,GOOD,GOOD,Anger
002_53,GOOD,GOOD,GOOD,Anger
002_54,GOOD,GOOD,GOOD,Anger
002_55,GOOD,GOOD,GOOD,Anger
002_56,GOOD,GOOD,GOOD,Anger
002_57,GOOD,GOOD,GOOD,Anger
002_58,GOOD,GOOD,GOOD,Anger
002_59,GOOD,GOOD,GOOD,Anger
002_60,GOOD,GOOD,GOOD,Anger
002_61,GOOD,GOOD,GOOD,Anger
002_62,GOOD,GOOD,GOOD,Anger
002_63,GOOD,GOOD,GOOD,Anger
002_64,GOOD,GOOD,GOOD,Anger
002_65,GOOD,GOOD,GOOD,Anger
003_00,GOOD,,GOOD,Anger
003_01,GOOD,,GOOD,Anger
003_02,GOOD,,GOOD,Anger
003_03,GOOD,,GOOD,Anger
003_04,GOOD,,GOOD,Anger
003_05,GOOD,,GOOD,Anger
003_06,GOOD,,GOOD,Anger
003_07,GOOD,,GOOD,Anger
003_08,GOOD,,GOOD,Anger
003_09,GOOD,,GOOD,Anger
003_10,GOOD,,GOOD,Anger
003_11,GOOD,,GOOD,Anger
003_12,GOOD,,GOOD,Anger
003_13,GOOD,,GOOD,Anger
003_14,GOOD,,GOOD,Anger
003_15,GOOD,,GOOD,Anger
003_16,GOOD,,GOOD,Anger
003_17,GOOD,,GOOD,Anger
003_18,GOOD,,GOOD,Anger
003_19,GOOD,,GOOD,Anger
003_20,GOOD,,GOOD,Anger
003_21,GOOD,,GOOD,Anger
003_22,GOOD,,GOOD,Anger
003_23,GOOD,,GOOD,Anger
003_24,GOOD,,GOOD,Anger
003_25,GOOD,,GOOD,Anger
003_26,GOOD,,GOOD,Anger
003_27,GOOD,,GOOD,Anger
003_28,GOOD,,GOOD,Anger
003_29,GOOD,,GOOD,Anger
003_30,GOOD,,GOOD,Anger
003_31,GOOD,,GOOD,Anger
003_32,GOOD,,GOOD,Anger
003_33,GOOD,,GOOD,Anger
003_34,GOOD,,GOOD,Anger
003_35,GOOD,,GOOD,Anger
003_36,GOOD,,GOOD,Anger
003_37,GOOD,,GOOD,Anger
003_38,GOOD,,GOOD,Anger
003_39,GOOD,,GOOD,Anger
003_40,GOOD,,GOOD,Anger
003_41,GOOD,,GOOD,Anger
003_42,GOOD,,GOOD,Anger
003_43,GOOD,,GOOD,Anger
003_44,GOOD,,GOOD,Anger
003_45,GOOD,,GOOD,Anger
003_46,GOOD,,GOOD,Anger
003_47,GOOD,,GOOD,Anger
003_48,GOOD,,GOOD,Anger
003_49,GOOD,,GOOD,Anger
003_50,GOOD,,GOOD,Anger
003_51,GOOD,,GOOD,Anger
003_52,GOOD,,GOOD,Anger
003_53,GOOD,,GOOD,Anger
003_54,GOOD,,GOOD,Anger
003_55,GOOD,,GOOD,Anger
003_56,GOOD,,GOOD,Anger
003_57,GOOD,,GOOD,Anger
003_58,GOOD,,GOOD,Anger
003_59,GOOD,,GOOD,Anger
003_60,GOOD,,GOOD,Anger
003_61,GOOD,,GOOD,Anger
003_62,GOOD,,GOOD,Anger
003_63,GOOD,,GOOD,Anger
003_64,GOOD,,GOOD,Anger
003_65,GOOD,,GOOD,Anger
004_00,GOOD,GOOD,GOOD,Anger
004_01,GOOD,GOOD,GOOD,Anger
004_02,GOOD,GOOD,GOOD,Anger
004_03,GOOD,GOOD,GOOD,Anger
004_04,GOOD,GOOD,GOOD,Anger
004_05,GOOD,GOOD,GOOD,Anger
004_06,GOOD,GOOD,GOOD,Anger
004_07,GOOD,GOOD,GOOD,Anger
004_08,GOOD,GOOD,GOOD,Anger
004_09,GOOD,GOOD,GOOD,Anger
004_10,GOOD,GOOD,GOOD,Anger
004_11,GOOD,GOOD,GOOD,Anger
004_12,GOOD,GOOD,GOOD,Anger
004_13,GOOD,GOOD,GOOD,Anger
004_14,GOOD,GOOD,GOOD,Anger
004_15,GOOD,GOOD,GOOD,Anger
004_16,GOOD,GOOD,GOOD,Anger
004_17,GOOD,GOOD,GOOD,Anger
004_18,GOOD,GOOD,NOISY,Anger
004_19,GOOD,GOOD,GOOD,Anger
004_20,GOOD,GOOD,GOOD,Anger
004_21,GOOD,GOOD,GOOD,Anger
004_22,GOOD,GOOD,GOOD,Anger
004_23,GOOD,GOOD,GOOD,Anger
004_24,GOOD,GOOD,GOOD,Anger
